Tweet ID,Text,Final Decision,Assigned To,Label_Lior,Reasons_Lior,Label_eden,Reasons_eden,Label_lior,Reasons_lior,Label_ofek,Reasons_ofek,Label_אורי כהן,Reasons_אורי כהן,Label_אוריכהן,Reasons_אוריכהן,Label_אילון כהן,Reasons_אילון כהן,Label_אריאל כהן,Reasons_אריאל כהן,Label_בנימין ווליך,Reasons_בנימין ווליך,Label_הודיה עופרי,Reasons_הודיה עופרי,Label_הילי חכמי,Reasons_הילי חכמי,Label_זיו חסון,Reasons_זיו חסון,Label_כיתה,Reasons_כיתה,Label_ענה-יה אך,Reasons_ענה-יה אך,Label_צבי גופרי,Reasons_צבי גופרי,Label_תומר חוכימה,Reasons_תומר חוכימה
vp2rttr11,"""Increase in your supplications during this blessed month...,","Irrelevant","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","","","",""
ypggyn8iw,"""@HaqqRemains_ Retracting ones opinion on this issue is a common matter among scholars, and it differs from the thinking of Daesh, who carry out istitabah because of it and consider anyone who permits it to be automatically a disbeliever.."",","Salafi taklidi","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Salafi taklidi","","","","","","","","","","","","","","","","",""
h012qrvil,"Your Duty Ends at Conveying  |ClickDEEN360  via @YouTube,","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","",""
1iymmdlx0,"""BREAKING: Tony Blair has been appointed to the Gaza Board of Peace after Satan was unavailable and Genghis Khan said ""no"" because he thought it might be harmful to his reputation x,84.0","Irrelevant","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","",""
1ghnf4ar8,"""""Little Mai and her mother ask for your continued support. Winter has arrived, their living conditions are harsh, and Ramadan is approaching while donations are very limited. Please consider donating and sharing to help make a difference. 

Please spare 5 if you can 
""
--------------

Keep our little sister Mai and her mother in your dua's and continue to donate for the sake of Allaah BarakAllahu Feekum,53.0","Irrelevant","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
aex8lbsqy,"""That's my position too. There is no contradiction in takfiring Rawafid, particularly their leaders, yet still standing with them against Zionists. This is different from the approach of shirk defenders like the zindiq Daniel Haqiqatjou, who went as far as painting Khamenei and his cult as some sort of heroes of Islam and canonising him into a martyr saint.

So there are two extremes:

- Those cheerleading this attack on Iran, although most casualties are innocent civilians, including Sunnis.

- Those who try to water down all the crimes and shirk of the Rawafid.

As Muslims, we should support even mushrik Christian non-Zionists against Zionists and, by extension, Rawafid. However, that does not mean we cannot takfir them or expose their kufr and falsehood (notice how the Sudani general at the end did not even add takfir for the Rawafid)."",","Salafi jihadi","אילון כהן;זיו חסון","","","","","","","","","","","","","Salafi jihadi","ד. תמיכה בתכפיר קולקטיבי; ג. קריאה לג׳האד התקפי (לא הגנתי)","","","","","","","","","Salafi jihadi","ד. תמיכה בתכפיר קולקטיבי","","","","","","","",""
2xdwgseaw,"#islamicreminder #quran #health #healthyfood #halalfood  via @YouTube,","Irrelevant","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","",""
mx6w6a017,"""25 | #Ramadan1447 | ALLAH WILL ANSWER THIS SUPPLICATION | Shaykh Musa Jibril (  )
PDF:,","Salafi jihadi","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Salafi jihadi","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","",""
9moywyd77,""" How to be Certain that You Catch Laylatul-Qadr,","Irrelevant","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Irrelevant","","","","","","","","","","","","","","","","",""
ki5ts35re,"Shaykh Sad bin Zuayr, one of the students of Shaykh amd bin Uql ash-Shuayb, mentioned that Shaykh Muammad ibn Ibrhm would not issue a fatw until he presented it to his student Shaykh amd bin Uql.,11.0","Salafi jihadi","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","",""
9gtbkzgqu,"""Shaykh li al-Fawzn speaks about those who allow the disbelievers into the lands of muslims when assisting them against the muslims and how this is disbelief even if he hates their religion.

Interestingly, he then speaks about those who bring them in and enabled them to build churches and the likes, and this is what he says :

_

Shaykh Sulaymn ibn Abd Allh ibn Muammad ibn Abd al Wahhb said: [That if someone openly displays their] agreement with their religion [of the Mushrikin]

Shaykh li al-Fawzn said: Meaning: He enabled them [the mushrikin] to establish churches in the lands of the Muslims, and granted them freedom, and said to the Muslims: Do not prevent them from anything; whatever they request from you, comply with it. This is mudhanah, because our religion forbids this.



Shaykh Sulaymn ibn Abd Allh ibn Muammad ibn Abd al-Wahhb said: [And if he does this then] indeed he is a disbeliever like them.

Shaykh li al-Fawzn commentates: Because he enabled the [religion of the] disbelievers and was pleased with their religion, and he forewent what the religion of Islm obliged upon him  namely disassociating the religion of the disbelievers and disavowing it. He did not disavow it; rather, he permitted it, justified it, and granted them freedom [to establish their religion] in the lands of the Muslims.

Shaykh Sulaymn ibn Abd Allh ibn Muammad ibn Abd al-Wahhb said: [And if he does this then indeed he is a disbeliever like them] even if he detests their religion and hates them.

Shaykh li al-Fawzn commentates: Meaning: if he loves their religion, then this makes him a disbeliever (kfir), an apostate, if he establish them. And if he establishes them while he hates their religion, then this act of his constitutes apostasy from Islm, because he has assisted them against the Muslims.

        (31,32)"",","Salafi jihadi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב","","","",""
tuiuu3wrb,"""When you want to commit a war crime, you appoint a war criminal.,76.0","Irrelevant","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
a4u9fhivx,"""Inside the New York Town Invaded by Welfare-Addicted Jews...,27.0","Irrelevant","אילון כהן;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","","","","","Irrelevant","","","","","","","","",""
bk0hq3yxh,"""Shia vs Yahd: The War Between Two Friends

Ustadh Abu Ousayd,","Salafi taklidi","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","",""
5b3fcjng2,"""""A Messege From Shamsi To Br Sneako
@DusDawah 
""
--------------

Zindeeq Shamsi why is Murtad bin Salman praying for forgiveness and paradise for a Mushrik Rafidhi?,","Salafi jihadi","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב","","","","","","","Salafi jihadi","ב. ביטויי גנאי או האשמה בכפירה של חכמי הלכה; א. האשמה בכפירה של שליטי ערב","","","",""
gwsm838d9,"""Remember all those moronic Madkhalis blindly defending their lord MBS? Some claiming the photo is fake, some claiming its a completely different guy, some claiming its AI. The original photo was released in the recent Epstein file dump by the American (in)justice department. 



Keep in mind, this meeting occurred after he was a convicted sex offender. This is who your Taghut MBS spends his time with, and whom your rabbis bootlick and condition Salafiyyah with. Look at that beaming smile! A picture of close friends. 

May Allah continue to expose these Tawagheet."",","Salafi jihadi","אריאל כהן;אילון כהן","","","","","","","","","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב; ביקורת על סלאפים תקלידיים","Salafi jihadi","א. האשמה בכפירה של שליטי ערב; ביקורת על סלאפים תקלידיים","","","","","","","","","","","","","","","",""
wd4wc27dm,"""""Hey @grok , remove the flag that kills children 
""
--------------,57.0","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","",""
2viucx0xn,"""Those happy with the bombing of Iran &amp; the killing of the khabith Ali Khamenei need to be remember what the apostate Arab &amp; Gulf states have done to Ahlus-Sunnah &amp; the Muwahideen!

These tawagheet are two sides of the same coin, anyone who can not see this reality is an imbecile"",","Salafi jihadi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב","","","","","Salafi jihadi","ז. אחר","","","",""
gvh7fezo7,"""Audio lectures: #Zakat and Its Rulings In Islam by @AbuKhadeejahSP 
#Ramadan,","Salafi taklidi","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Irrelevant","","","","Salafi taklidi","","","","","","","","","","","","",""
mhbrroquh,""" The Odd Nights Of Raman Cannot Be Known With Certainty

By Sh. Ab akeem Bill Davis @AbuHakeemBilal   

Read more here: 

Dont limit your search for Laylatul Qadr to the commonly mentioned odd nights. If Raman is 29 days, the last ten begin on the 20th night, meaning what we count as even could actually be among the nights intended in the narrations.

Start striving from the 20th night onward and seek the blessing of every night of the last ten. The reward is too great to gamble with."",","Salafi taklidi","אילון כהן;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","","","","","Salafi taklidi","","","","","","","","",""
wkt7zddfi,"Those Who Worship Others Besides Allah Are Misguided |ClickDEEN360  via @YouTube,","Irrelevant","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","",""
m8pchcj90,"""On this day in 1961, the US, UK and Belgium assassinated Patrice Lumumba, the first democratically elected leader of the Republic of Congo, because he sought to restore national control over the country's mineral reserves. Remember Lumumba!,23.0","Irrelevant","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","","","",""
gh7cco9vr,"""A separatist from somaliland region is asking young people in Somaliland to donate blood to help injured IDF (Israeli army) soldiers.
He also said that Kids under 18 should save their lunch money so they can send it to help with Israels war effort.
Thats the tweet.,","Irrelevant","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Irrelevant","","","","","","","","","","","","","","","","",""
zhewessu4,""" [Playlist] Two Raman Reminders Added. 

 @AbuKhadeejahSP  @AbuIdrees 

Raman 1447 | 2026  Daily Reminders  Birmingham: @MasjidSalafi  &amp; @AstonMasjid,","Salafi taklidi","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","",""
oh7j20zvz,"Saudi Army of Kufr Shaykh Turki al-Binali Rahimahullah,","Salafi jihadi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב; ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","",""
eti19jr8p,"The targeting of the Iranian ""Kish"" International airport of Iran's Radar site by the IDF-USAF Joint Coalition.

 POV coordinates:
26.52558611, 54.01388611
 Radar site coordinates:
26.53389167, 53.99012778,","Irrelevant","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
ogif9k9m7,"""""NOW - Netanyahu: ""You see the difference. The tyrants of Tehran target civilians, we target the tyrants of Tehran to protect civilians."" 
""
--------------

Never forget Gaza,","Irrelevant","אילון כהן;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","","","","","Irrelevant","","","","","","","","",""
cfi3jhp9y,"""""..Dont Deceive The Muslims .. 
""
--------------

Funny how this Munafiq is speaking about Iran allying with America what about your Taghut kingdomof Saudi Arabia ya Munafiq 
(Check thread),","Salafi jihadi","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב","","","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב; ד. תמיכה בתכפיר קולקטיבי","",""
vwtctpkna,"Daniel Haqiqatjou is a disgusting Iranian agent

Look at how he mocks Saudi Arabia while it was being unjustly attacked,","Salafi taklidi","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","","","Irrelevant","","","","",""
he9uuux30,"Watch Pahlavist Zionists trying to storm an embassy, featuring the mental asylum escapee Goldie Ghamari and the Kermit-the-Frog-voiced Armin Navabi,46.0","Irrelevant","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Irrelevant","","","","","","","","","","","","","","","","",""
958fby18i,"""On this day, March 8th, 2005
Aslan (Khalid) Maskhadov was martyred.,","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","ח. אחר","","","","","Irrelevant","","",""
w6kg6omdl,"""Our sister Aafia Siddiqui turns 54 today on March 2nd and spent nearly half her life in prison due to the Taghut Pakistani government surrendering an innocent woman.
#IAmAafia #SaveAafia #FreeAafiaSiddiqui,","Irrelevant","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","Irrelevant","","","","",""
qu1gpkdqr,"Those You Call Besides Allah Cannot Help You |ClickDEEN360  via @YouTube,","Salafi taklidi","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Salafi taklidi","","","","Salafi taklidi","","","","","","","","","","","","",""
pfh2793ce,"""""Reza Pahlavis daughter is posting messages on IG about how people in Iran are killing themselves because they dont think Trump is going to attack. Incredible stuff. 
""
--------------

The mushrik is the most humiliated and vilest of creation.,39.0","Irrelevant","אילון כהן;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","","","","","Irrelevant","","","","","","","","",""
aa9f5538w,""" and  are the two websites to follow for uncompromising Dawah in our era.

Free from bowing down the Taghut and free from sugarcoating to please the masses.,","Salafi jihadi","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","ח. אחר","","","","","","","Salafi jihadi","ביקורת על סלאפים תקלידיים","",""
bungwdeiy,"""13 | #Ramadan1447 | WHOEVER KNOWS ALLAH MORE WILL FEAR HIM MORE | Shaykh Musa Jibril (  )
PDF: 
SRT:,","Salafi jihadi","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","",""
zl8iu56hj,"The Prophets Duty Is to Convey Clearly  |ClickDEEN360  via @YouTube,","Irrelevant","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Irrelevant","","","","","","","","","","","","","","","","",""
c6p0be3h8,"""Yasir Qadhi didnt dismantle any myth, he only dismantled his credibility &amp; integrity. 

By his own admission, after immersing himself in Western institutions, he began to experience doubts about his faith.

The romanticization of Orientalism raises serious concerns &amp; questions."",","Salafi taklidi","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","",""
2l6uyopay,"""Alawites are moving based on coordination and orders of SDF. 

One of their goal is to provoke a Sunni reaction that could trigger chaos and instability that serves agendas of SDF, shabiha Assadists, alawites, druze and Israel."",","Irrelevant","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב","","","","","Irrelevant","","","","",""
szp6334vu,"""What if you died today? 

Point to reflect on. May Allah grant us good ends whilst He is pleased with us. 
 
Masjid Daar us Sunnah are losing their premises. 

We are raising funds to buy a building urgently. 
Donate today:,","Salafi taklidi","אילון כהן;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","","","","","Salafi taklidi","","","","","","","","",""
i5nt9srfr,"False Intercessors Besides Allah |ClickDEEN360  via @YouTube,","Salafi taklidi","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","","","Irrelevant","","",""
w0t8nt9qm,"""""
""
--------------

Wallahi anyone who believes this Grifter Zindeeq Sneako is Muslim is either a jahil or Zindeeq himself who should re learn the basics of Islam!,","Salafi taklidi","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","","","Salafi jihadi","ד. תמיכה בתכפיר קולקטיבי","","","",""
a2lzavsi2,"""Masjid Imam Ibn Taymiyyah, Islamabad  @IkhlaasTrust @SalafiMaktabah  Watch the video and share with friends and family. Donate securely:,","Salafi taklidi","אריאל כהן;אילון כהן","","","","","","","","","","","","","Salafi taklidi","","Salafi taklidi","","","","","","","","","","","","","","","","",""
kr6p8u03r,"""New Publication:
 
The History and Origins of the Kalm Theology of the Ashars and Mturds 

A Handbook of historical facts and concealed realities.
Paperback, 100 pages.

Available 4th quarter 2025 inshAllh from,","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Salafi taklidi","","",""
cbxzj907m,"""When one reflects upon the religion of Islm, one comes to realise its profound beauty in bringing about the betterment and rectification for all of mankind. Among the blessings and favours of Allh are the prescribed acts of worship, within which lie tremendous benefits, both for the individual and for society as a whole. #Ramadn #Ramadhan #Ramadaan2026"",","Irrelevant","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","",""
z38qrhnom,"""A lady in her 40s just took shahadah at the table   
May Allah keep her firm. Ameen"",","Irrelevant","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
82za03gok,"""Rfidah are worse than donkeys! 

- Shaykh Ahmad Musa Jibril,","Salafi jihadi","אילון כהן;זיו חסון","","","","","","","","","","","","","Salafi jihadi","ח. אחר; ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","","","",""
1365tb0x6,"The targeting of the IRGC's ""Heydar Karrar"" SSM Tunnel Entrance in Tehran's Damavand, Iran by the IDF-USAF coalition.

 Coordinates:
35.686431 52.143692,","Irrelevant","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","",""
uav2r1tii,"""A Person is Raised in Rank After Death because of the Du of the Son or Daughter.,","Irrelevant","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","","","",""
w78ducat9,"""Did Gal Gadot open an acting school in France or something?,","Irrelevant","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Irrelevant","","","","","","","","","","","","","","","","",""
puw07rzx9,"""10 | #Ramadan1447 | RIGHTEOUS CONDUCT | Shaykh Musa Jibril (  )
PDF: 
SRT:,","Salafi jihadi","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","",""
hyhrob2qt,"""This is the 3rd world: a race of mystery meat monkeys grinding & gyrating on each other indiscriminately. Male, female, trans means nothing. All that matters is, can I fuck it? People say theyre animals but animals are at least ruled by instinct and therefore, follow Gods order. 

These people are something worse. They are something between animal and human but somehow worse than either. Theyve overthrown instinct but they havent replaced it with consciousness. 

This is why the third world never builds anything of value. Their whole existence centers around, who can I fuck? They never have a thought that isnt about fulfilling a base pleasure. This is why sexual immorality always leads to the collapse of civilization. 

This is who they want to import en masse. It is easy to rule over people who are already slaves."",","Irrelevant","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","",""
ngll78k7i,"""07 | #Ramadan1447 | AL-WALA WAL BARA' | Shaykh Musa Jibril (  )
PDF: 
SRT:,","Salafi jihadi","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","Salafi jihadi","ו. תמיכה או ציטוט של דמויות סלפיות ג׳האדיות מוכרות","","","","","","","","","","","",""
y808i181c,""" Card: Winter Is a Time for Increased Contemplation and Worship,","Irrelevant","אילון כהן;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","","","","","Irrelevant","","","","","","","","",""
isp06qr47,"""I am not associated with the Muslim Brotherhood or any political group, but I say: the slipper used for the toilet by a Muslim Brotherhood leader is more noble than the entire Zionist UAE.

To hell with the UAE. 

May Allah ruin them; by Allah, they know that they will eventually receive a divine punishment that will haunt their descendants for generations."",8.0","Irrelevant","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Salafi jihadi","א. האשמה בכפירה של שליטי ערב","","","","","","","Irrelevant","","",""
e11iyaiki,"""A thread on why Al-Qaeda was never an agent of America.,","Irrelevant","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Salafi jihadi","ז. אחר","","","","","","","Irrelevant","","","","",""
pt3n0k7gz,""" Generosity in the Month of Raman

 Sh Abu Fuayl Abdur Raqb ( ).

 

 - Seeking nearness to Allh by way of giving in charity and being plentiful in generosity in this blessed month of Raman.
- Believe in Allh and His Messenger and spend out of that in which He has made you successors. For those who have believed among you and spent, there will be a great reward. [Srah al-Hadd 57:7]
- So fear Allh as much as you are able and listen and obey and spend [in the way of Allh]; it is better for your selves. And whoever is protected from the stinginess of his soul - it is those who will be the successful. [Srah at-Taghbun 64:16]
- Small deeds that will benefit us in the hereafter and protect us from the punishment of Allh.
- How Allh cultivates charity given from lawful earnings.
- So whoever does an atom's weight of good will see it. And whoever does an atom's weight of evil will see it. [Srah az-Zalzalah 99:7-8]
- The meaning of .
- A adth that highlights the outcome of a deed that emanates from fear of Allh, mercy, love or sincerity, even if it is small.
- Focusing on recitation and implementation of the Qurn in Raman.
- The reason for the Messengers  increased generosity in the month of Raman.
- Fruits of reciting and reflecting upon the Qurn.
- The Messengers  detachment from the duny."",","Salafi taklidi","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Salafi taklidi","","","","","","","","","","","","","","","","",""
nj4s8rgle,"""Whoever prays Fajr prayer is under the protection of Allah || Shaykh Abdurrazzaq al-Badr,64.0","Salafi taklidi","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","",""
zufbfsgb9,"Alhamdulilah tickets are still available for the iftar tomorrow @MrkzIbnMubarak, with a Kalimah from our beloved teachers and companions @Abdulilah_UK and @AbuTalhahTahir. Lets keep giving in what might be that special night of this blessed month,","Salafi taklidi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","","","",""
23j122oxk,"""""What war?! We are not afraid.""

An Israeli reporter asks a Palestinian woman in Jerusalem her feelings on the current war with Iran

Translation: translating_palestine - IG,","Irrelevant","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
zvbjch6by,"""Tremendous advice from Ibn Al-Qayyim   about Worries, Sorrow and Sadness.  

Follow our official telegram group:,","Irrelevant","אילון כהן;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","","","","","Irrelevant","","","","","","","","",""
44cv7uyuv,"""Israel did it in 1948
Israel did it in 1956
Israel did it in 1967
Israel did it in 1982
Israel did it in 2002
Israel did it in 2008
Israel did it in 2014
Israel did it in 2021
Israel did it in 2023
Israel did it in 2024
Israel is currently doing it in 2026

78 years of genocide.,78.0","Irrelevant","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","",""
79u5balj2,"Zakat distributed (in cash) in Al-Qadarif Sudan,","Irrelevant","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","","","",""
ze0z9e1zf,"""Can IDF degrade the clip more so that I can see absolutely nothing?"",","Irrelevant","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Irrelevant","","","","","","","","","","","","","","","","",""
7nmgljuck,"""First they came for Canada, and I said nothing. Then they came for Texas-- and I spoke."",","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","",""
ykqi7tbu7,"""URGENT: Markaz us-Sunnah has only 21 days to secure our property or we may lose it and have nowhere to pray, do lessons or Madrasah.

RAISED: 220,000
REMAINING: 780,000

Target: 1M to secure our future BY THE END OF RAMADAN.

DONATE NOW

GoFundMe:


Website:


#Roadto1mill"",","Salafi taklidi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","","","Irrelevant","","","","",""
nb1g1wsn2,"""""I get certain Hizbs hating on the Students Movement, but to argue that its less Islmic than other official governments is mental retardation that has nothing to do with the Jinn.""
""
--------------

Its coping 
Nothing more, nothing else 
The moment you criticise their Gulf scholars or doings of the new Syrian government in any way, they slander you for not being retarded in your criticism of IEA (even if half your posts about IEA is actually criticism)
Unfair assessment,","Irrelevant","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Irrelevant","","","","Salafi jihadi","ז. אחר","","","","","","","","","","","",""
yqlpaqh61,"""I have not found a single Salafi-Haraki or Sururi shaykh who fully supports al-Jolani 

Most of the Salafi-Haraki, and even Sururi, scholars I know criticize many of al-Jolanis actions..."",","Salafi taklidi","אילון כהן;זיו חסון","","","","","","","","","","","","","Salafi taklidi","","","","","","","","","","Salafi jihadi","ח. אחר","","","","","","","",""
o97ebikbd,"""I find it pathetic when Muslims argue online. 

Why are you wasting your time with someone youve never even met?

Why do you even care what someone random says about you?

Let the dogs bark.

In person, if a dog barksyou can always put it down."",60.0","Irrelevant","צבי גופרי;הילי חכמי","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","",""
2ran7xt02,"""""Most Muslims don't understand that Shias getting weaker and defeated is in favour of the Ummah.""
""
--------------

True 
But what about crusaders and your Zionist cousins getting stronger 
Also in favour of the Ummah?,","Irrelevant","ענה-יה אך;הודיה עופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","","","Irrelevant","","","","",""
2jsu9t4ji,"Dont understand the shitstorm Prof Jiang is getting
He reduces complex issues to their core
While this leads to serious mistakes (keep in mind hes not a Muslim), his game theory approach often works
The world isnt as complicated as some claim just to appear more intellectual,","Irrelevant","אריאל כהן;אילון כהן","","","","","","","","","","","","","Irrelevant","","Irrelevant","","","","","","","","","","","","","","","","",""
tryckjj64,"""I'm listening to callsigns you can't pronounce on frequencies you've never heard of."",","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","",""
b57pkvtr6,"""@tasleemio Nobody cares about your stupid little P@j33t village wars between two fat Halwa molvis

Your both the exactly same

Grow up!"",","Irrelevant","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","","","","","Irrelevant","","","","","","Salafi jihadi","ח. אחר","","","",""
gwvpmct96,"""Some nice and simple dus for the last 10 days and nights (updated 2025 version). Please read and share with friends and relatives.

Click this link for the phone-friendly booklet, brakallhu-feekum.,","Irrelevant","הודיה עופרי;אריאל כהן","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
